notifying_member,distribution_date,title,description,products_covered,hs_code_s,ics_code_s,objectives,objectives_free_text,keywords,specific_regions_or_countries_likely_to_be_affected,final_date_for_comments,proposed_adoption_date,proposed_entry_into_force_date,notification_type,notified_document,technical_regulation_article_2_9_2,technical_regulation_urgent_article_2_10_1,conformity_assessment_procedure_article_5_6_2,conformity_assessment_procedure_urgent_article_5_7_1,technical_regulation_local_government_article_3_2,conformity_assessment_procedure_local_government_article_7_2,other,relevant_documents,codex_alimentarius_commission,world_organization_for_animal_health_oie,international_plant_protection_convention,none,does_this_proposed_regulation_conform_to_the_relevant_international_standard,if_no_describe_whenever_possible_how_and_why_it_deviates_from_the_international_standard,products_covered_raw,ics_codes_raw,hs_codes_raw,ics_list,hs_list,is_sps,is_tbt
United States of America,2020-03-04,Flutriafol; Pesticide Tolerances. Final Rule,This regulation establishes tolerances for residues of flutriafol in or on multiple commodities.,"Alfalfa, forage; Alfalfa, hay; Barley, grain; Barley, hay; Barley, straw; Cattle, fat; Cattle, liver; Cattle, meat byproducts, except liver; Corn, sweet, forage; Corn, sweet, kernel plus cob with husk removed; Corn, sweet, stover; Egg; Goat, fat; Goat, liver; Goat, meat byproducts, except liver; Horse, fat; Horse, liver; Horse, meat byproducts, except liver; Poultry, fat; Poultry, meat byproducts; Sheep, fat; Sheep, liver; Sheep, meat byproducts, except liver; Rice, grain",,,Food safety (SPS),,Food safety; Maximum residue limits (MRLs); Animal feed; Animal health; Human health; Pesticides,,,2020-02-14 00:00:00,2020-02-14 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-02-14/html/2020-02035.htm,,,,,,,,,No,No,No,Yes,Not applicable,,"Alfalfa, forage; Alfalfa, hay; Barley, grain; Barley, hay; Barley, straw; Cattle, fat; Cattle, liver; Cattle, meat byproducts, except liver; Corn, sweet, forage; Corn, sweet, kernel plus cob with husk removed; Corn, sweet, stover; Egg; Goat, fat; Goat, liver; Goat, meat byproducts, except liver; Horse, fat; Horse, liver; Horse, meat byproducts, except liver; Poultry, fat; Poultry, meat byproducts; Sheep, fat; Sheep, liver; Sheep, meat byproducts, except liver; Rice, grain",,,[],[],True,False
United States of America,2020-03-04,Prohexadione Calcium; Pesticide Tolerances. Final Rule,"This regulation establishes tolerances with a regional registration for residues of prohexadione calcium in or on alfalfa forage, alfalfa hay, and field corn forage, grain, and stover.","Alfalfa, forage; Alfalfa, hay; Corn, field, forage; Corn, field, grain; Corn, field, stover",,,Food safety (SPS),,Food safety; Animal feed; Animal health; Human health; Pesticides; Maximum residue limits (MRLs),,,2020-02-14 00:00:00,2020-02-14 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-02-14/html/2020-02036.htm,,,,,,,,,No,No,No,Yes,Not applicable,,"Alfalfa, forage; Alfalfa, hay; Corn, field, forage; Corn, field, grain; Corn, field, stover",,,[],[],True,False
United States of America,2020-03-04,Chlorfenapyr; Pesticide Tolerances. Final Rule.,"This regulation establishes tolerances for residues of chlorfenapyr in or on basil, fresh leaves; chive, fresh leaves; and cucumber and increases the established tolerance on vegetable, fruiting, group 8-10.","Basil, fresh leaves; Chive, fresh leaves; Cucumber; Vegetable, fruiting, group 8-10",,,Food safety (SPS),,Food safety; Human health; Pesticides; Maximum residue limits (MRLs),,,2020-02-14 00:00:00,2020-02-14 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-02-14/html/2020-02037.htm,,,,,,,,,No,No,No,Yes,Not applicable,,"Basil, fresh leaves; Chive, fresh leaves; Cucumber; Vegetable, fruiting, group 8-10",,,[],[],True,False
United States of America,2020-03-04,Acetamiprid; Pesticide Tolerances. Final Rule.,This regulation establishes tolerances for residues of acetamiprid in or on multiple commodities.,"Brassica, leafy greens, subgroup 4-16B; Celtuce; Cottonseed subgroup 20C; Fennel, florence, fresh leaves and stalk; Fruit, stone, group 12-12; Kohlrabi; Leaf petiole vegetable subgroup 22B; Leafy greens subgroup 4-16A; Nut, tree, group 14-12; Rapeseed subgroup 20A; Tropical and subtropical, medium to large fruit, smooth, inedible peel, subgroup 24B; Vegetable, brassica, head and stem, group 5-16",,,Food safety (SPS),,Maximum residue limits (MRLs); Food safety; Human health; Pesticides,,,2020-02-14 00:00:00,2020-02-14 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-02-14/html/2020-02038.htm,,,,,,,,,No,No,No,Yes,Not applicable,"EPA harmonizes with Codex where possible, but for some of the MRLs (tolerance) in question, the data provided to EPA support a different MRL than Codex. Please refer to the Federal Register Notice for full information regarding which MRLs are harmonized and which are not.","Brassica, leafy greens, subgroup 4-16B; Celtuce; Cottonseed subgroup 20C; Fennel, florence, fresh leaves and stalk; Fruit, stone, group 12-12; Kohlrabi; Leaf petiole vegetable subgroup 22B; Leafy greens subgroup 4-16A; Nut, tree, group 14-12; Rapeseed subgroup 20A; Tropical and subtropical, medium to large fruit, smooth, inedible peel, subgroup 24B; Vegetable, brassica, head and stem, group 5-16",,,[],[],True,False
United States of America,2020-03-04,Cyantraniliprole; Pesticide Tolerances. Final Rule,This regulation establishes a tolerance for residues of cyantraniliprole in or on strawberry.,Strawberry,081010 - Fresh strawberries,,Food safety (SPS),,Maximum residue limits (MRLs); Pesticides; Food safety; Human health,,,2020-02-14 00:00:00,2020-02-14 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-02-14/html/2020-02238.htm,,,,,,,,,No,No,No,Yes,Not applicable,,Strawberry,,081010 - Fresh strawberries,[],[],True,False
United States of America,2020-03-04,Difenoconazole; Pesticide Tolerances. Final Rule.,"This regulation establishes tolerances for residues of difenoconazole in or on vegetable, root, subgroup 1A, except ginseng; vegetable, leaves of root and tuber, group 2; and tea, dried. In addition, this regulation amends the tolerances for residues of difenoconazole in or ginseng; cattle, liver; goat, liver; horse, liver; and sheep, liver.","Ginseng \2\; Ginseng; Tea, dried \1\; Vegetable, leaves of root and tuber, group 2; Vegetable, root, subgroup 1A, except ginseng; Cattle, liver; Goat, liver; Horse, liver; Sheep, liver",,,Food safety (SPS),,Food safety; Maximum residue limits (MRLs); Animal health; Human health; Pesticides,,,2020-02-14 00:00:00,2020-02-14 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-02-14/html/2020-02241.htm,,,,,,,,,No,No,No,Yes,Not applicable,"EPA harmonizes with Codex where possible, but for some of the MRLs (tolerance) in question, the data provided to EPA support a different MRL than Codex. Please refer to the Federal Register Notice for full information regarding which MRLs are harmonized and which are not.","Ginseng \2\; Ginseng; Tea, dried \1\; Vegetable, leaves of root and tuber, group 2; Vegetable, root, subgroup 1A, except ginseng; Cattle, liver; Goat, liver; Horse, liver; Sheep, liver",,,[],[],True,False
United States of America,2020-03-09,Receipt of a Pesticide Petition Filed for Residues of Pesticide Chemicals in or on Various Commodities (PP 8F8708),This document announces the Agency's receipt of a corrected filing of a pesticide petition requesting the establishment of regulations for residues of indoxacarb in or on certain popcorn commodities.,Multiple Commodities,,,Food safety (SPS),,Food safety; Human health; Pesticides,,2020-03-26 00:00:00,,,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-02-25/html/2020-03637.htm,,,,,,,,,No,No,No,Yes,Not applicable,,Multiple Commodities,,,[],[],True,False
United States of America,2020-03-17,Receipt of Several Pesticide Petitions Filed for Residues of Pesticide Chemicals in or on Various Commodities. Notice of filing of petitions and request for comment.,This document announces the Agency's receipt of several initial filings of pesticide petitions requesting the establishment or modification of regulations for residues of pesticide chemicals in or on various commodities.,Multiple Commodities,,,Food safety (SPS),,Food safety; Human health; Pesticides; Maximum residue limits (MRLs),,2020-04-04 00:00:00,,,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-03-03/html/2020-04265.htm,,,,,,,,,No,No,No,Yes,Not applicable,,Multiple Commodities,,,[],[],True,False
United States of America,2020-03-18,Trifloxystrobin; Pesticide Tolerance. Final Rule.,"This regulation establishes a tolerance for residues of trifloxystrobin in or on pea and bean, dried shelled, except soybean, subgroup 6C.","Pea and bean, dried shelled, except soybean, subgroup 6C",,,Food safety (SPS),,Human health; Pesticides; Maximum residue limits (MRLs); Food safety,,,2020-03-06 00:00:00,2020-03-06 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-03-06/html/2020-04208.htm,,,,,,,,,No,No,No,Yes,Not applicable,"EPA harmonizes with Codex where possible, but for some of the MRLs (tolerance) in question, the data provided to EPA support a different MRL than Codex. Please refer to the Federal Register Notice for full information regarding which MRLs are harmonized and which are not.","Pea and bean, dried shelled, except soybean, subgroup 6C",,,[],[],True,False
United States of America,2020-03-18,Penoxsulam; Pesticide Tolerance. Final Rule.,This regulation establishes a tolerance for residues of penoxsulam in or on globe artichoke.,"Artichoke, globe",,,Food safety (SPS),,Food safety; Human health; Pesticides; Maximum residue limits (MRLs),,,2020-03-09 00:00:00,2020-03-09 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-03-09/html/2020-04524.htm,,,,,,,,,No,No,No,Yes,Not applicable,,"Artichoke, globe",,,[],[],True,False
United States of America,2020-03-25,Cyazofamid; Pesticide Tolerances. Final Rule.,This regulation establishes tolerances for residues of cyazofamid in or on multiple commodities.,"Brassica, leafy greens, subgroup 4-16B; Ginseng; Kohlrabi; Leafy greens subgroup 4-16A; Vegetable, brassica, head and stem, group 5-16",,,Food safety (SPS),,Food safety; Human health; Pesticides; Maximum residue limits (MRLs),,,2020-03-18 00:00:00,2020-03-18 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-03-18/html/2020-04747.htm,,,,,,,,,No,No,No,Yes,Not applicable,"EPA harmonizes with Codex where possible, but for some of the MRLs (tolerance) in question, the data provided to EPA support a different MRL than Codex. Please refer to the Federal Register Notice for full information regarding which MRLs are harmonized and which are not.","Brassica, leafy greens, subgroup 4-16B; Ginseng; Kohlrabi; Leafy greens subgroup 4-16A; Vegetable, brassica, head and stem, group 5-16",,,[],[],True,False
United States of America,2020-04-24,Receipt of a Pesticide Petition Filed for Residues of Pesticide Chemicals in or on Various Commodities. Notice of filing of petition and request for comment.,This document announces the Agency's receipt of an initial filing of a pesticide petition requesting the establishment or modification of regulations for residues of pesticide chemicals in or on various commodities.,Multiple Commodities,,,Food safety (SPS),,Human health; Pesticides; Food safety,,2020-05-15 00:00:00,,,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-04-15/html/2020-07806.htm,,,,,,,,,No,No,No,Yes,Not applicable,,Multiple Commodities,,,[],[],True,False
United States of America,2020-05-08,Banda de Lupinus Albus Doce (BLAD); Proposal To Revoke Exemption and Establish Pesticide Tolerances; Reopening of Comment Period. Proposed Rule.,"EPA issued a proposed rule in the Federal Register of 11 February 2020, concerning the revocation of an existing tolerance exemption and establishment of pesticide tolerances for residues of the fungicide BLAD. This notification reopens and extends the comment period to 12 July 2020.","Almond; almond, hulls; fruit, pome, group 11-10; fruit, stone, group 12-12; grape; hops, dried cones; strawberry; vegetable, cucurbit, group 9; and vegetable, fruiting, group 8-10",,,Food safety (SPS),,Maximum residue limits (MRLs); Food safety; Human health; Pesticides,,2020-07-12 00:00:00,,,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-04-21/html/2020-08192.htm,,,,,,,,,No,No,No,Yes,Not applicable,,"Almond; almond, hulls; fruit, pome, group 11-10; fruit, stone, group 12-12; grape; hops, dried cones; strawberry; vegetable, cucurbit, group 9; and vegetable, fruiting, group 8-10",,,[],[],True,False
United States of America,2020-05-04,"TITLE: The Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule for Model Years 2021-2026 Passenger Cars and Light TrucksAGENCY: Environmental Protection Agency and National Highway Traffic Safety AdministrationACTION: Final ruleSUMMARY: EPA and NHTSA, on behalf of the Department of Transportation, are issuing final rules to amend and establish carbon dioxide and fuel economy standards. Specifically, EPA is amending carbon dioxide standards for model years 2021 and later, and NHTSA is amending fuel economy standards for model year 2021 and setting new fuel economy standards for model years 2022-2026. The standards set by this action apply to passenger cars and light trucks, and will continue our nation's progress toward energy independence and carbon dioxide reduction, while recognizing the realities of the marketplace and consumers' interest in purchasing vehicles that meet all of their diverse needs. These final rules represent the second part of the Administration's action related to the 24 August 2018 proposed Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule. These final rules follow the agencies' actions, taken 19 September 2019, to ensure One National Program for automobile fuel economy and carbon dioxide emissions standards, by finalizing regulatory text related to preemption under the Energy Policy and Conservation Act and withdrawing a waiver previously provided to California under the Clean Air Act.DATES: This final rule is effective on 29 June 2020.Judicial Review: NHTSA and EPA undertake this joint action under their respective authorities pursuant to the Energy Policy and Conservation Act and the Clean Air Act. Pursuant to CAA section 307(b), 42 U.S.C. 7607(b), any petitions for judicial review of this action must be filed in the United States Court of Appeals for the D.C. Circuit. Given the inherent relationship between the agencies' action, any challenges to NHTSA's regulation under 49 U.S.C. 32909 should also be filed in the United States Court of Appeals for the D.C. Circuit.The docket folder on Regulations.gov provides access to primary and supporting documents for this rulemaking as well as the comments received: https://www.regulations.gov/docket?D=EPA-HQ-OAR-2018-0283",,Motor vehicles,,13.020 - Environmental protection; 43.020 - Road vehicles in general; 43.040 - Road vehicle systems,"Consumer information, labelling (TBT); Protection of the environment (TBT)",,,,,,,Addendum to Regular Notification,https://www.govinfo.gov/content/pkg/FR-2020-04-30/html/2020-06967.htm https://www.govinfo.gov/content/pkg/FR-2020-04-30/pdf/2020-06967.pdf,Yes,No,No,No,No,No,No,,,,,,,,Motor vehicles,13.020 - Environmental protection; 43.020 - Road vehicles in general; 43.040 - Road vehicle systems,,"['13.020', '43.020', '43.040']",[],False,True
United States of America,2020-05-25,Receipt of a Pesticide Petition Filed for Residues of Pesticide Chemicals in or on Various Commodities. Notice of filing of petition and request for comment.,This document announces the Agency's receipt of an initial filing of a pesticide petition requesting the establishment or modification of regulations for residues of pesticide chemicals in or on various commodities.,Multiple Commodities,,,Food safety (SPS),,Pesticides; Maximum residue limits (MRLs); Food safety; Human health,,2020-06-08 00:00:00,,,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-05-08/html/2020-09165.htm,,,,,,,,,No,No,No,Yes,Not applicable,,Multiple Commodities,,,[],[],True,False
United States of America,2020-05-25,Isoxaben; Pesticide Tolerances. Final Rule.,"This regulation establishes tolerances for residues of isoxaben in or on the caneberry subgroup 13-07A and hop, dried cones.","Caneberry subgroup 13-07A; Hop, dried cones",,,Food safety (SPS),,Human health; Pesticides; Maximum residue limits (MRLs); Food safety,,,2020-05-15 00:00:00,2020-05-15 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-05-15/html/2020-08962.htm,,,,,,,,,No,No,No,Yes,Not applicable,,"Caneberry subgroup 13-07A; Hop, dried cones",,,[],[],True,False
United States of America,2020-05-25,Acequinocyl; Pesticide Tolerances. Final Rule.,This regulation establishes tolerances for residues of acequinocyl in or on the bushberry subgroup 13-07B.,Bushberry subgroup 13-07B,,,Food safety (SPS),,Food safety; Human health; Pesticides; Maximum residue limits (MRLs),,,2020-05-15 00:00:00,2020-05-15 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-05-15/html/2020-09451.htm,,,,,,,,,No,No,No,Yes,Not applicable,,Bushberry subgroup 13-07B,,,[],[],True,False
United States of America,2020-05-26,Fluridone; Pesticide Tolerances. Final Rule.,"This regulation establishes tolerances for residues of fluridone in or on avocados, mandarins, pomegranates, pistachios, and the stone fruit group (crop group 12).","Avocado; Fruit, stone, group 12-12; Pistachio; Pomegranate; Tangerine","08025 - - Pistachios :; 080521 - Fresh or dried mandarins incl. tangerines and satsumas (excl. clementines); 080440 - Fresh or dried avocados; 081090 - Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, pitahaya and other edible fruit (excl. nuts, bananas, dates, figs, pineapples, avocados, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, melons, apples, pears quinces, apricots, cherries, peaches, plums, sloes, strawberries, raspberries, mulberries, blackberries, loganberries, cranberries, fruits of the genus Vaccinium, kiwifruit, durians, persimmons, black-, white- and redcurrants and gooseberries)",,Food safety (SPS),,Human health; Food safety,,,2020-05-18 00:00:00,2020-05-18 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-05-18/html/2020-08963.htm,,,,,,,,,No,No,No,Yes,Not applicable,,"Avocado; Fruit, stone, group 12-12; Pistachio; Pomegranate; Tangerine",,"08025 - - Pistachios :; 080521 - Fresh or dried mandarins incl. tangerines and satsumas (excl. clementines); 080440 - Fresh or dried avocados; 081090 - Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, pitahaya and other edible fruit (excl. nuts, bananas, dates, figs, pineapples, avocados, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, melons, apples, pears quinces, apricots, cherries, peaches, plums, sloes, strawberries, raspberries, mulberries, blackberries, loganberries, cranberries, fruits of the genus Vaccinium, kiwifruit, durians, persimmons, black-, white- and redcurrants and gooseberries)",[],[],True,False
United States of America,2020-06-03,Chlormequat Chloride; Pesticide Tolerances. Final Rule.,This regulation amends a tolerance for residues of chlormequat chloride in or on oat grain.,"Oat, grain",1004 - Oats,,Food safety (SPS),,Maximum residue limits (MRLs); Food safety; Human health; Pesticides,,,2020-05-26 00:00:00,2020-05-26 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-05-26/html/2020-10331.htm,,,,,,,,,No,No,No,Yes,Not applicable,"EPA harmonizes with Codex where possible, but for some of the MRLs (tolerance) in question, the data provided to EPA support a different MRL than Codex. Please refer to the Federal Register Notice for full information regarding which MRLs are harmonized and which are not.","Oat, grain",,1004 - Oats,[],['1004'],True,False
United States of America,2020-06-03,Indoxacarb; Pesticide Tolerances. Final Rule.,"This regulation establishes a tolerance for residues of the insecticide indoxacarb in or on corn, pop, grain at 0.02 parts per million (ppm) and corn, pop, stover at 15 ppm.","Corn, pop, grain; Corn, pop, stover",,,Food safety (SPS),,Food safety; Human health; Pesticides; Maximum residue limits (MRLs),,,2020-05-26 00:00:00,2020-05-26 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-05-26/html/2020-10483.htm,,,,,,,,,No,No,No,Yes,Not applicable,,"Corn, pop, grain; Corn, pop, stover",,,[],[],True,False
United States of America,2020-06-03,Flonicamid; Pesticide Tolerances. Final Rule.,"This regulation revises the tolerance for residues of flonicamid in or on Leafy greens subgroup 4-16A, except spinach.","Leafy greens subgroup 4-16A, except spinach",,,Food safety (SPS),,Food safety; Human health; Pesticides; Maximum residue limits (MRLs),,,2020-05-28 00:00:00,2020-05-28 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-05-28/html/2020-10565.htm,,,,,,,,,No,No,No,Yes,Not applicable,"EPA harmonizes with Codex where possible, but for some of the MRLs (tolerance) in question, the data provided to EPA support a different MRL than Codex. Please refer to the Federal Register Notice for full information regarding which MRLs are harmonized and which are not.","Leafy greens subgroup 4-16A, except spinach",,,[],[],True,False
United States of America,2020-06-03,Receipt of a Pesticide Petition Filed for Residues of Pesticide Chemicals in or on Various Commodities. Notice of filing of petition and request for comment.,This document announces the Agency's receipt of an initial filing of a pesticide petition requesting the establishment or modification of regulations for residues of pesticide chemicals in or on various commodities.,Multiple Commodities,,,Food safety (SPS),,Human health; Pesticides; Food safety,,2020-05-29 00:00:00,,,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-05-29/html/2020-11636.htm,,,,,,,,,No,No,No,Yes,Not applicable,,Multiple Commodities,,,[],[],True,False
United States of America,2020-06-08,Receipt of a Pesticide Petition Filed for Residues of a Pesticide Chemical in or on Various Commodities. Notice of filing of petition and request for comment.,This document announces EPA's receipt of an initial filing of a pesticide petition requesting the establishment or modification of regulations for residues of a pesticide chemical in or on various commodities.,Multiple Commodities,,,Food safety (SPS),,Pesticides; Food safety; Human health,,2020-06-01 00:00:00,,,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-06-01/html/2020-11574.htm,,,,,,,,,No,No,No,Yes,Not applicable,,Multiple Commodities,,,[],[],True,False
United States of America,2020-06-24,Fenpyroximate; Pesticide Tolerances. Final Rule.,This regulation establishes and amends tolerances for residues of fenpyroximate in or on multiple commodities.,"Peanut; Peanut, hay; Tropical and subtropical, medium to large fruit, smooth, 0.6 inedible peel subgroup 24B, except banana; Cattle, fat; Goat, fat; Horse, fat; Sheep, fat; Cattle, kidney; Cattle, liver; Goat, kidney; Goat, liver; Horse, kidney; Horse, liver; Sheep, kidney; Sheep, liver",,,Food safety (SPS),,Food safety; Human health; Pesticides; Maximum residue limits (MRLs),,,2020-06-18 00:00:00,2020-06-18 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-06-18/html/2020-11516.htm,,,,,,,,,No,No,No,Yes,Not applicable,"EPA harmonizes with Codex where possible, but for some of the MRLs (tolerance) in question, the data provided to EPA support a different MRL than Codex. Please refer to the Federal Register Notice for full information regarding which MRLs are harmonized and which are not.","Peanut; Peanut, hay; Tropical and subtropical, medium to large fruit, smooth, 0.6 inedible peel subgroup 24B, except banana; Cattle, fat; Goat, fat; Horse, fat; Sheep, fat; Cattle, kidney; Cattle, liver; Goat, kidney; Goat, liver; Horse, kidney; Horse, liver; Sheep, kidney; Sheep, liver",,,[],[],True,False
United States of America,2020-07-03,Indaziflam; Pesticide Tolerances. Final Rule.,This regulation establishes tolerances for residues of indaziflam in or on multiple commodities.,"Cattle, fat; Cattle, meat; Cattle, meat by-products; Goat, fat; Goat, meat; Goat, meat by-products; Horse, fat; Horse, meat; Horse, meat by-products; Milk; Milk, fat; Sheep, fat; Sheep, meat; Sheep, meat by-products",,,Food safety (SPS),,Maximum residue limits (MRLs); Food safety; Human health; Pesticides,,,2020-06-24 00:00:00,2020-06-24 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-06-24/html/2020-12132.htm,,,,,,,,,No,No,No,Yes,Not applicable,,"Cattle, fat; Cattle, meat; Cattle, meat by-products; Goat, fat; Goat, meat; Goat, meat by-products; Horse, fat; Horse, meat; Horse, meat by-products; Milk; Milk, fat; Sheep, fat; Sheep, meat; Sheep, meat by-products",,,[],[],True,False
United States of America,2020-07-03,Receipt of a Pesticide Petition Filed for Residues of Pesticide Chemicals in or on Various Commodities. Notice of filing of petition and request for comment.,This document announces the Agency's receipt of an initial filing of a pesticide petition requesting the establishment or modification of regulations for residues of pesticide chemicals in or on various commodities.,Multiple Commodities,,,Food safety (SPS),,Food safety; Human health; Pesticides,,2020-06-24 00:00:00,,,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-06-24/html/2020-13273.htm,,,,,,,,,No,No,No,Yes,Not applicable,,Multiple Commodities,,,[],[],True,False
United States of America,2020-07-16,Cyflumetofen; Pesticide Tolerances. Final Rule.,This regulation establishes tolerances for residues of cyflumetofen in or on multiple commodities.,Cherry subgroup 12-12A; Cucumber; Peach subgroup 12-12B; Pepper/eggplant subgroup 8-10B; Plum subgroup 12-12C; Strawberry; Tomato subgroup 8-10A,,,Food safety (SPS),,Food safety; Human health; Pesticides; Maximum residue limits (MRLs),,,2020-07-01 00:00:00,2020-07-01 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-07-01/html/2020-13048.htm,,,,,,,,,No,No,No,Yes,Not applicable,"EPA harmonizes with Codex where possible, but for some of the MRLs (tolerance) in question, the data provided to EPA support a different MRL than Codex. Please refer to the Federal Register Notice for full information regarding which MRLs are harmonized and which are not.",Cherry subgroup 12-12A; Cucumber; Peach subgroup 12-12B; Pepper/eggplant subgroup 8-10B; Plum subgroup 12-12C; Strawberry; Tomato subgroup 8-10A,,,[],[],True,False
United States of America,2020-07-16,Oxathiapiprolin; Pesticide Tolerances. Final Rule.,This regulation establishes tolerances for residues of oxathiapiprolin in or on multiple commodities.,"Almond, hulls; Berry, low growing, subgroup 13-07G, except cranberry; Bushberry subgroup 13-07B, except lowbush blueberry; Chickpea, edible podded; Chickpea, succulent shelled; Hop, dried cones; Lentil, edible podded; Lentil, succulent shelled; Nut, tree, group 14-12; Pea, dwarf, edible podded; Pea, edible podded; Pea, English, succulent shelled; Pea, garden, succulent shelled; Pea, grass, edible podded; Pea, green, edible podded; Pea, green, succulent shelled; Pea, pigeon, edible podded; Pea, pigeon, succulent shelled; Pea, snap, edible podded; Pea, snow, edible podded; Pea, sugar snap, edible podded; Tropical and subtropical, medium to large fruit, smooth, inedible peel, subgroup 24B",,,Food safety (SPS),,Pesticides; Maximum residue limits (MRLs); Food safety; Human health,,,2020-07-06 00:00:00,2020-07-06 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-07-06/html/2020-12126.htm,,,,,,,,,Yes,No,No,No,No,"EPA harmonizes with Codex where possible, but for some of the MRLs (tolerance) in question, the data provided to EPA support a different MRL than Codex. Please refer to the Federal Register Notice for full information regarding which MRLs are harmonized and which are not.","Almond, hulls; Berry, low growing, subgroup 13-07G, except cranberry; Bushberry subgroup 13-07B, except lowbush blueberry; Chickpea, edible podded; Chickpea, succulent shelled; Hop, dried cones; Lentil, edible podded; Lentil, succulent shelled; Nut, tree, group 14-12; Pea, dwarf, edible podded; Pea, edible podded; Pea, English, succulent shelled; Pea, garden, succulent shelled; Pea, grass, edible podded; Pea, green, edible podded; Pea, green, succulent shelled; Pea, pigeon, edible podded; Pea, pigeon, succulent shelled; Pea, snap, edible podded; Pea, snow, edible podded; Pea, sugar snap, edible podded; Tropical and subtropical, medium to large fruit, smooth, inedible peel, subgroup 24B",,,[],[],True,False
United States of America,2020-07-16,S-metolachlor; Pesticide Tolerances. Final Rule.,This regulation establishes tolerances for residues of S-metolachlor in or on multiple commodities.,"Dill, seed; Dillweed; Dillweed, dried leaves; Grain, aspirated fractions; Rosemary, dried leaves; Rosemary, fresh leaves; Soybean, meal; Soybean, seed",,,Food safety (SPS),,Food safety; Human health; Pesticides; Maximum residue limits (MRLs),,,2020-07-06 00:00:00,2020-07-06 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-07-06/html/2020-14393.htm,,,,,,,,,No,No,No,Yes,Not applicable,,"Dill, seed; Dillweed; Dillweed, dried leaves; Grain, aspirated fractions; Rosemary, dried leaves; Rosemary, fresh leaves; Soybean, meal; Soybean, seed",,,[],[],True,False
United States of America,2020-07-29,Hexythiazox; Pesticide Tolerances. Final Rule,"This regulation amends the existing tolerances for residues of the ovicide/miticide hexythiazox in or on Caneberry, Subgroup 13-07A; and on Date, dried. This regulation also establishes a tolerance for residues of the ovicide/miticide hexythiazox in or on Tea, dried.","Caneberry, Subgroup 13-07A; Date, dried; Tea, dried",,,Food safety (SPS),,Food safety; Human health; Pesticides; Maximum residue limits (MRLs),,,2020-07-20 00:00:00,2020-07-20 00:00:00,Regular notification,https://www.govinfo.gov/content/pkg/FR-2020-07-20/html/2020-14394.htm,,,,,,,,,No,No,No,Yes,Not applicable,"EPA harmonizes with Codex where possible, but for some of the MRLs (tolerances) in question, the data provided to EPA support a different MRL than Codex. Please refer to the Federal Register Notice for full information regarding which MRLs are harmonized and which are not.","Caneberry, Subgroup 13-07A; Date, dried; Tea, dried",,,[],[],True,False
